conjecture_id,status,validation_status,score_variant,counterexample_g6,order,size,counter_x,counter_y,violation_margin,cost,execution_time_seconds
886,FOUND,VALID_COUNTEREXAMPLE,v6,Bo,3,2,2.0,0.0,1.0,0.0148,0.0148
980,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,1.5,0.0067,0.0067
981,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,1.0,0.0058,0.0058
1177,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.8,0.0066,0.0066
1178,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.6,0.0063,0.0063
1191,NOT_FOUND,NOT_FOUND,v6,@,1,0,1.0,0.0,-3.225551,120.0,60.0001
1466,FOUND,VALID_COUNTEREXAMPLE,v6,Bo,3,2,1.0,2.0,0.486714,0.0116,0.0116
1566,FOUND,VALID_COUNTEREXAMPLE,v6,H`EG?CM,9,9,6.0,4.0,1.0,0.7369,0.7369
1587,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.333333,0.0067,0.0067
1588,FOUND,VALID_COUNTEREXAMPLE,v6,MaO@?G@G?WAO?A?@?,14,13,8.0,5.0,1.0,1.6216,1.6216
1600,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.333333,0.0075,0.0075
1601,FOUND,VALID_COUNTEREXAMPLE,v6,NcC_T?C?G@?@?@G?C??,15,14,8.0,5.0,1.0,2.3479,2.3479
1708,FOUND,VALID_COUNTEREXAMPLE,v6,L`EGW?@?o??@?I,13,13,6.0,8.0,1.0,0.9352,0.9352
1880,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,4.0,0.0067,0.0067
1891,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,0.5,0.0073,0.0073
2041,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,1.0,0.0077,0.0077
2051,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,1.0,0.0059,0.0059
2117,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,8.343857,0.0077,0.0077
2120,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,0.5,0.0062,0.0062
2121,FOUND,VALID_COUNTEREXAMPLE,v6,Na?H_?DO??_G?A?@H??,15,14,6.0,9.0,1.0,0.6621,0.6621
4247,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,1.0,4.0,0.0069,0.0069
4668,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,8.343857,0.0085,0.0085
4712,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,1.0,1.0,0.0062,0.0062
5952,FOUND,VALID_COUNTEREXAMPLE,v6,PASH[_PbsAb}Bl_UO?G?B_?G,17,42,4.0,7.0,1.0,3.6475,3.6475
5994,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,9.772429,0.0182,0.0182
5996,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,6.172429,0.0626,0.0626
5998,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,3.772429,0.0276,0.0276
6000,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,9.772429,0.0216,0.0216
6179,FOUND,VALID_COUNTEREXAMPLE,v6,I~aH?_@?G,10,13,5.0,2.6,0.066667,0.3999,0.3999
6180,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.444444,0.0186,0.0186
6181,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.166667,0.0188,0.0188
6182,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.567017,0.0186,0.0186
6267,FOUND,VALID_COUNTEREXAMPLE,v6,IK|kq?C@G,10,16,3.2,6.0,0.085714,0.4342,0.4342
6268,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,1.0,0.0209,0.0209
6269,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.324324,0.0193,0.0193
6272,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,1.4,0.0209,0.0209
6278,NOT_FOUND,NOT_FOUND,v6,@,1,0,0.0,1.0,-0.217965,120.0,60.0443
6352,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.777778,0.0211,0.0211
6574,FOUND,VALID_COUNTEREXAMPLE,v6,KxaG??E?wD_O,12,16,4.0,6.0,1.0,1.0277,1.0277
6582,NOT_FOUND,NOT_FOUND,v6,TgCG??@?W?_C??????k????Co??E???E?E??,21,21,11.0,10.0,0.0,120.0,60.0032
6903,FOUND,VALID_COUNTEREXAMPLE,v6,LhCGGCB?G?_G?@,13,13,6.0,8.0,1.0,0.7505,0.7505
688,NOT_FOUND,NOT_FOUND,v6,@,1,0,0.0,0.0,0.0,120.0,60.0009
713,NOT_FOUND,NOT_FOUND,v6,A_,2,1,1.0,1.0,-0.109157,120.0,60.0002
737,FOUND,VALID_COUNTEREXAMPLE,v6,A_,2,1,1.0,0.0,0.933981,0.0101,0.0101
1021,FOUND,VALID_COUNTEREXAMPLE,v6,MzNi}s{o}PdbdBXU_,14,51,7.285714,51.0,0.428571,2.1727,2.1727
1337,FOUND,VALID_COUNTEREXAMPLE,v6,LjiNunoR\itURZ,13,46,46.0,7.076923,0.032479,2.5661,2.5661
1591,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.455357,0.0095,0.0095
1729,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.36,0.0107,0.0107
1793,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.2749,0.0072,0.0072
1892,NOT_FOUND,NOT_FOUND,v6,Qg?A?AC?OOc???COA?c????C@B?,18,18,8.0,10.0,0.0,120.0,60.0504
1917,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.438462,0.0212,0.0212
1919,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.309441,0.01,0.01
2129,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.438462,0.0086,0.0086
2131,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.309441,0.0082,0.0082
2252,NOT_FOUND,NOT_FOUND,v6,A_,2,1,1.0,2.0,-6.837068,120.0,60.0011
2882,FOUND,VALID_COUNTEREXAMPLE,v6,Bo,3,2,4.0,2.0,0.25,0.0244,0.0244
3144,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,5.666667,0.0209,0.0209
3157,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,11.8,0.0252,0.0252
3191,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,6.333333,0.025,0.025
3193,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,11.8,0.021,0.021
3368,NOT_FOUND,NOT_FOUND,v6,@,1,0,1.0,0.0,-0.028695,120.0,60.0001
3384,NOT_FOUND,NOT_FOUND,v6,@,1,0,1.0,0.0,-0.028695,120.0,60.0003
3550,FOUND,VALID_COUNTEREXAMPLE,v6,Ez~w,6,14,0.0,16.0,1.25739,0.4091,0.4091
3961,FOUND,VALID_COUNTEREXAMPLE,v6,QbM}Zxzv|k|TMjZPW~E\tX^_\jG,18,94,0.0,10.444444,0.030422,4.3483,4.3483
3979,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,6.211972,0.0158,0.0158
4288,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,1.513713,0.0167,0.0167
5381,FOUND,VALID_COUNTEREXAMPLE,v6,A_,2,1,1.0,1.0,0.478469,0.0189,0.0189
5421,NOT_FOUND,NOT_FOUND,v6,@,1,0,1.0,1.0,-0.984531,120.0,60.0016
5968,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.374264,0.0244,0.0244
5983,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.287321,0.0389,0.0389
6011,NOT_FOUND,NOT_FOUND,v6,A_,2,1,1.0,1.0,-0.382609,120.0,60.0004
6013,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,0.737323,0.03,0.03
6020,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.334774,0.0313,0.0313
6124,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,0.711864,0.0248,0.0248
6270,NOT_FOUND,NOT_FOUND,v6,A_,2,1,1.0,1.0,-3.351305,120.0,60.0002
6351,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,1.297537,0.0364,0.0364
6466,NOT_FOUND,NOT_FOUND,v6,T~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,21,210,1330.0,0.0,-39.127349,120.0,60.0006
6472,NOT_FOUND,NOT_FOUND,v6,T~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,21,210,1330.0,0.0,-40.421792,120.0,60.0159
6617,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,1.0,0.0,0.371536,0.0332,0.0332
7205,FOUND,VALID_COUNTEREXAMPLE,v6,P`trINHpsBubVs~HBLPsDygS,17,68,1104.0,4491.0,51.461538,1.3651,1.3651
7206,FOUND,VALID_COUNTEREXAMPLE,v6,Rn@w[~AAjw{CqN\mCUhO|kPMRph]Ho,19,85,1528.0,6874.0,613.2,0.6548,0.6548
7212,FOUND,VALID_COUNTEREXAMPLE,v6,O~~~~~~?G@__@@?C?AH??,16,46,702.0,2773.0,13.777778,0.7543,0.7543
7213,FOUND,VALID_COUNTEREXAMPLE,v6,PxDNstCpY~|obT_[mf@wLKG[,17,68,1102.0,4473.0,322.0,0.6391,0.6391
7565,NOT_FOUND,NOT_FOUND,v6,T`CG?C@?G?_???_???G??@_??AR????G_?I?,21,20,0.0,0.0,-228.893811,120.0,60.0075
7566,NOT_FOUND,NOT_FOUND,v6,T@C???@?G??@?@G??o??AO?F????o?E??K??,21,20,0.0,0.0,-242.591421,120.0,60.0072
7694,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.352706,0.0306,0.0306
7695,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.30606,0.032,0.032
7703,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,0.216138,0.0297,0.0297
7711,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,11.387247,0.0351,0.0351
7712,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,6.974374,0.0326,0.0326
7713,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,7.581094,0.0293,0.0293
7718,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,5.324366,0.0257,0.0257
7719,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,0.0,5.976085,0.0314,0.0314
7732,FOUND,VALID_COUNTEREXAMPLE,v6,L~~~~|~~~~|ne_,13,67,0.0,12.0,0.272587,0.679,0.679
7734,FOUND,VALID_COUNTEREXAMPLE,v6,PzvN|~ez}~|}ntk|}fJy\[I[,17,99,0.0,11.647059,1.489455,0.6989,0.6989
7743,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,3.462416,0.0218,0.0218
7753,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,5.082683,0.023,0.023
7773,FOUND,VALID_COUNTEREXAMPLE,v6,@,1,0,0.0,1.0,3.462416,0.0334,0.0334
